"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"O.J. Howard","TB","NO","TE","10","2.0","-4.5","5.7","3177012"
"Cameron Brate","TB","NO","TE","10","1.9","-4.6","5.5","3177009"
"Carlos Hyde","JAX","SEA","RB","12","2.4","-4.7","5.0","3176928"
"Adam Shaheen","MIA","BUF","TE","10","1.8","-4.7","3.4","3176631"
"N'Keal Harry","NE","LAC","WR","10","1.8","-4.7","4.5","3176896"
"Harrison Bryant","CLE","PIT","TE","10","1.7","-4.8","4.7","3176728"
"Charlie Woerner","SF","CHI","TE","10","1.7","-4.8","4.3","3176672"
"James Washington","PIT","CLE","WR","13","2.5","-4.9","4.8","3176703"
"Jesse James","CHI","SF","TE","10","1.5","-5.0","3.2","3176687"
"Brevin Jordan","HOU","LA","TE","10","1.5","-5.0","2.8","3176883"
"DeeJay Dallas","SEA","JAX","RB","11","1.8","-5.0","4.1","3176956"
"Travis Homer","SEA","JAX","RB","11","1.8","-5.0","4.1","3176953"
"MyCole Pruitt","TEN","IND","TE","10","1.5","-5.0","4.5","3176776"
"Mike Thomas","CIN","NYJ","WR","10","1.4","-5.1","4.9","3176820"
"Kalen Ballage","PIT","CLE","RB","10","1.4","-5.1","3.1","3176705"
"Keith Smith","ATL","CAR","RB","10","1.3","-5.2","3.9","3176609"
"Chris Moore","HOU","LA","WR","10","1.3","-5.2","2.6","3176874"
"Zach Gentry","PIT","CLE","TE","10","1.3","-5.2","3.3","3176710"
"Jauan Jennings","SF","CHI","WR","10","1.3","-5.2","3.9","3176673"
"Jaret Patterson","WAS","DEN","RB","10","1.3","-5.2","3.4","3176978"
"D'Ernest Johnson","CLE","PIT","RB","23","5.1","-5.3","8.2","3176727"
"Kylen Granson","IND","TEN","TE","10","1.2","-5.3","4.8","3176807"
"Braxton Berrios","NYJ","CIN","WR","10","1.2","-5.3","2.4","3176839"
"Jaelon Darden","TB","NO","WR","10","1.2","-5.3","4.6","3177018"
"Jason Cabinda","DET","PHI","RB","10","1.1","-5.4","3.6","3176760"
"Isaiah Ford","MIA","BUF","WR","10","1.1","-5.4","2.5","3189169"
"Devine Ozigbo","NO","TB","RB","10","1.1","-5.4","3.0","3177031"
"Lee Smith","ATL","CAR","TE","10","1.0","-5.5","4.1","3176607"
"Damiere Byrd","CHI","SF","WR","10","1.0","-5.5","2.7","3176688"
"Ashton Dulin","IND","TEN","WR","10","1.0","-5.5","4.5","3176803"
"Stephen Anderson","LAC","NE","TE","10","1.0","-5.5","4.4","3176910"
"Jack Stoll","PHI","DET","TE","10","1.0","-5.5","4.3","3176752"
"Reggie Gilliam","BUF","MIA","RB","10","0.9","-5.6","5.1","3176659"
"Drew Sample","CIN","NYJ","TE","10","0.9","-5.6","4.3","3176823"
"Kendall Hinton","DEN","WAS","WR","10","0.9","-5.6","3.7","3176994"
"Chris Manhertz","JAX","SEA","TE","10","0.9","-5.6","2.9","3176929"
"Ben Skowronek","LA","HOU","WR","10","0.9","-5.6","5.3","3176865"
"Antonio Gandy-Golden","WAS","DEN","WR","10","0.9","-5.6","3.1","3189153"
"Tom Kennedy","DET","PHI","WR","10","0.8","-5.7","3.3","3176765"
"Jacob Hollister","JAX","SEA","TE","10","0.8","-5.7","2.9","3176932"
"Luke Farrell","JAX","SEA","TE","10","0.8","-5.7","2.9","3176939"
"Greg Ward","PHI","DET","WR","10","0.7","-5.8","3.8","3176742"
"John Bates","WAS","DEN","TE","10","0.7","-5.8","2.8","3176976"
"Jake Kumerow","BUF","MIA","WR","10","0.6","-5.9","4.7","3176649"
"Penny Hart","SEA","JAX","WR","10","0.6","-5.9","3.3","3176954"
"Alex Erickson","CAR","ATL","WR","10","0.5","-6.0","2.8","3176591"
"Alex Armah","NO","TB","RB","10","0.5","-6.0","2.2","3177029"
"Antony Auclair","HOU","LA","TE","10","0.4","-6.1","1.5","3176876"
"Benny Snell Jr.","PIT","CLE","RB","10","0.4","-6.1","1.9","3176709"
"Jacob Harris","LA","HOU","TE","10","0.3","-6.2","4.4","3176863"
"Colin Thompson","CAR","ATL","TE","10","0.2","-6.3","2.5","3176595"
"Ryan Nall","CHI","SF","RB","10","0.2","-6.3","1.8","3177745"
"Jakeem Grant Sr.","CHI","SF","WR","10","0.2","-6.3","1.7","3176689"
"Jesper Horsted","CHI","SF","TE","10","0.2","-6.3","1.7","3176691"
"Johnny Stanton IV","CLE","PIT","RB","10","0.2","-6.3","2.0","3176726"
"Eric Saubert","DEN","WAS","TE","10","0.2","-6.3","2.9","3176985"
"Keke Coutee","IND","TEN","WR","10","0.2","-6.3","3.5","3189143"
"Albert Wilson","MIA","BUF","WR","10","0.2","-6.3","1.5","3176627"
"Gunner Olszewski","NE","LAC","WR","10","0.2","-6.3","2.7","3176899"
"Colby Parkinson","SEA","JAX","TE","10","0.2","-6.3","2.8","3176955"
"Auden Tate","CIN","NYJ","WR","10","0.1","-6.4","3.3","3176822"
"Diontae Spencer","DEN","WAS","WR","10","0.1","-6.4","2.8","3176983"
"Gabe Nabers","LAC","NE","RB","10","0.1","-6.4","2.5","3176920"
"La'Mical Perine","NYJ","CIN","RB","10","0.1","-6.4","1.8","3176844"
"Trey Sermon","SF","CHI","RB","13","0.4","-7.0","2.3","3176675"
"Trey Lance","SF","CHI","QB","21","1.8","-12.2","5.8","3176674"
