"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Packers ","GB","CIN","DST","3500","5.7","-2.2","0.5","19526148","10.0"
"Dolphins ","MIA","TB","DST","2400","3.6","-2.2","0.8","19526163","7.1"
"Blake Jarwin","DAL","NYG","TE","3200","7.1","-2.3","0.5","19525912","12.4"
"Robert Tonyan","GB","CIN","TE","4300","9.2","-2.3","0.5","19525892","14.2"
"DeVonta Smith","PHI","CAR","WR","5900","12.4","-2.3","0.8","19525456","17.0"
"Eli Mitchell","SF","ARI","RB","5200","11.0","-2.3","0.5","19525184","15.1"
"Terrace Marshall Jr.","CAR","PHI","WR","3600","7.8","-2.4","2.9","19525556","12.0"
"Dan Arnold","JAX","TEN","TE","2900","6.4","-2.4","1.7","19525928","9.9"
"Jalen Reagor","PHI","CAR","WR","4200","9.0","-2.4","0.5","19525524","12.4"
"Jamaal Williams","DET","MIN","RB","5200","10.9","-2.5","0.5","19525186","15.2"
"DeVante Parker","MIA","TB","WR","5400","11.1","-2.5","4.4","19525472","14.6"
"Bears ","CHI","LV","DST","3200","4.8","-2.5","0.2","19526151","8.8"
"Tim Patrick","DEN","PIT","WR","4700","9.7","-2.6","0.6","19525504","13.8"
"Adam Humphries","WAS","NO","WR","3300","7.0","-2.6","0.5","19525572","10.8"
"Giants ","NYG","DAL","DST","2600","3.4","-2.7","0.1","19526160","6.9"
"Buccaneers ","TB","MIA","DST","4700","7.6","-2.7","0.5","19526145","12.6"
"Bryan Edwards","LV","CHI","WR","3800","7.7","-2.8","0.9","19525548","13.3"
"Kendrick Bourne","NE","HOU","WR","4000","8.1","-2.8","0.5","19525542","13.2"
"C.J. Uzomah","CIN","GB","TE","3000","6.0","-2.9","3.2","19525920","9.3"
"Javonte Williams","DEN","PIT","RB","4900","9.8","-2.9","0.5","19525202","13.6"
"Hunter Henry","NE","HOU","TE","3700","7.4","-2.9","2.6","19525896","11.2"
"Chester Rogers","TEN","JAX","WR","3900","7.9","-2.9","0.5","19525544","12.8"
"Broncos ","DEN","PIT","DST","4200","6.4","-2.9","0.5","19526146","11.0"
"Marquise Goodwin","CHI","LV","WR","3000","6.0","-3.0","0.5","19525872","8.9"
"Zach Ertz","PHI","CAR","TE","3400","6.8","-3.0","0.5","19525904","9.3"
"Quintez Cephus","DET","MIN","WR","4300","8.5","-3.1","0.5","19525518","12.5"
"Jordan Akins","HOU","NE","TE","2500","4.9","-3.1","0.0","19526136","6.1"
"Deonte Harris","NO","WAS","WR","4100","8.1","-3.1","0.5","19525536","12.0"
"Amon-Ra St. Brown","DET","MIN","WR","3500","6.8","-3.2","0.8","19525560","10.2"
"Miles Sanders","PHI","CAR","RB","5700","11.1","-3.2","0.5","19525170","14.8"
"Albert Okwuegbunam","DEN","PIT","TE","2500","4.6","-3.3","0.3","19525948","6.8"
"Kalif Raymond","DET","MIN","WR","4800","9.1","-3.4","0.5","19525498","13.8"
"Allen Lazard","GB","CIN","WR","3700","7.0","-3.4","0.5","19525554","11.6"
"Davis Mills","HOU","NE","QB","4800","11.6","-3.4","0.5","19525082","16.6"
"Tavon Austin","JAX","TEN","WR","3000","5.6","-3.4","1.1","19525660","8.3"
"Jameis Winston","NO","WAS","QB","5600","13.9","-3.5","0.5","19525065","23.2"
"Rondale Moore","ARI","SF","WR","4600","8.6","-3.6","0.5","19525510","14.0"
"Ian Thomas","CAR","PHI","TE","2500","4.4","-3.6","0.0","19526012","7.3"
"David Njoku","CLE","LAC","TE","2900","5.0","-3.7","0.5","19525922","8.5"
"Harrison Bryant","CLE","LAC","TE","2500","4.3","-3.7","0.0","19525990","7.3"
"Adam Trautman","NO","WAS","TE","2600","4.5","-3.7","0.0","19525944","7.4"
"Albert Wilson","MIA","TB","WR","3100","5.4","-3.8","0.5","19525586","7.3"
"Pharaoh Brown","HOU","NE","TE","2500","4.1","-3.9","0.2","19526134","5.1"
"Donald Parham Jr.","LAC","CLE","TE","2600","4.2","-3.9","0.0","19525942","7.3"
"Juwan Johnson","NO","WAS","TE","3100","5.3","-3.9","0.5","19525918","8.4"
"Tony Pollard","DAL","NYG","RB","5600","10.0","-4.1","0.5","19525172","16.8"
"Cedrick Wilson","DAL","NYG","WR","4100","7.0","-4.1","0.5","19525534","12.4"
"Malcolm Brown","MIA","TB","RB","4000","6.9","-4.1","0.5","19525344","9.9"
"John Ross III","NYG","DAL","WR","3400","5.6","-4.2","0.5","19525568","9.0"
"Kyle Rudolph","NYG","DAL","TE","2500","3.8","-4.2","0.0","19525954","6.5"
"Chase Claypool","PIT","DEN","WR","6000","10.7","-4.2","0.5","19525450","14.9"
"Mark Ingram II","HOU","NE","RB","4300","7.2","-4.3","0.5","19525220","9.0"
"Kenneth Gainwell","PHI","CAR","RB","4900","8.5","-4.3","0.5","19525204","13.1"
"Quez Watkins","PHI","CAR","WR","3600","5.9","-4.3","0.5","19525558","9.0"
"Kenyan Drake","LV","CHI","RB","4900","8.3","-4.4","0.5","19525200","13.6"
"O.J. Howard","TB","MIA","TE","2900","4.4","-4.4","0.3","19525926","8.6"
"Pat Freiermuth","PIT","DEN","TE","2800","4.0","-4.5","0.2","19525932","6.2"
"James Conner","ARI","SF","RB","5600","9.5","-4.6","0.5","19525174","15.6"
"AJ Dillon","GB","CIN","RB","4500","7.4","-4.6","0.5","19525212","11.1"
"Cameron Batson","TEN","JAX","WR","3000","4.3","-4.7","0.0","19525676","7.9"
"Kenny Stills","NO","WAS","WR","3000","4.2","-4.8","0.0","19525786","7.2"
"Ty Montgomery","NO","WAS","WR","3000","4.2","-4.8","0.0","19525790","7.0"
"J.D. McKissic","WAS","NO","RB","5000","8.1","-4.8","0.5","19525196","12.7"
"Rodney Smith","CAR","PHI","RB","4000","6.0","-4.9","0.5","19525300","10.7"
"Kendall Hinton","DEN","PIT","WR","3000","4.0","-4.9","0.0","19525716","6.2"
"Alexander Mattison","MIN","DET","RB","5500","9.0","-4.9","0.5","19525180","14.2"
"Marquez Callaway","NO","WAS","WR","4700","7.4","-4.9","0.5","19525506","11.3"
